,City,Temperature,Humidity,Clouds,Wind,Longitude,Latitude
475,Rabaul,26.08,100,76,2.42,152.17,-4.2
476,Terrace Bay,-5.0,27,5,4.6,-87.1,48.78
477,Kruisfontein,17.43,89,100,2.62,24.73,-34.0
478,Kilrush,12.4,58,75,2.1,-8.06,51.96
479,Kibungo,20.0,77,75,1.5,30.55,-2.14
480,Muli,31.93,20,0,4.47,71.45,22.62
481,Cazones,22.0,94,90,3.1,-97.32,20.72
482,Jumla,-1.37,99,88,0.87,82.18,29.28
483,Roebourne,23.88,95,100,10.07,117.15,-20.77
484,Leshukonskoye,1.88,75,68,2.12,45.76,64.9
485,Indiaroba,28.43,92,32,2.52,-37.51,-11.53
486,Los Llanos de Aridane,15.88,68,75,3.6,-17.92,28.66
487,San Juan,28.03,54,40,6.7,-66.12,18.47
488,San Pedro,17.78,55,0,3.13,-59.66,-33.68
489,Katete,24.53,74,36,0.72,29.75,-0.78
490,Port Macquarie,23.63,83,90,1.5,152.91,-31.43
491,Buta,31.03,63,76,0.97,24.73,2.79
492,Champerico,25.0,57,5,2.1,-93.6,16.38
493,Okha,-9.12,84,64,4.72,142.95,53.59
494,Vardo,12.12,50,75,4.1,-77.74,39.62
495,Bandrele,29.0,79,0,1.5,45.19,-12.91
496,Samfya,28.43,52,8,2.37,29.56,-11.37
497,Monroe,3.3,29,40,5.7,-83.4,41.91
498,Okrika,30.43,72,64,3.67,7.78,5.52
499,Najran,33.0,18,40,7.2,44.22,17.54
500,Hailey,-2.59,73,5,5.1,-114.32,43.52
501,Morehead,10.8,100,90,2.6,-83.43,38.18
502,Diego de Almagro,20.83,79,0,1.62,-70.05,-26.39
503,Bereda,14.29,48,0,6.7,-7.54,43.27
504,San Angelo,17.63,59,40,6.7,-100.44,31.46
505,Gurupi,22.53,100,92,2.02,-49.07,-11.73
506,Quatre Cocos,25.77,94,75,2.6,57.76,-20.21
507,Zhavoronki,5.6,41,0,5.0,37.1,55.64
508,Milkovo,15.51,26,44,3.6,24.68,41.53
509,Mount Isa,26.0,83,90,5.7,139.49,-20.73
510,Tadine,25.23,100,92,6.72,167.88,-21.55
511,Changping,12.15,19,0,2.0,116.23,40.22
512,Spirit River,0.26,92,75,1.22,-118.84,55.78
513,Sabha,20.43,52,20,2.22,14.43,27.03
514,Nicoya,32.0,46,0,8.2,-85.45,10.15
515,Kidal,35.73,19,36,1.87,1.41,18.44
516,Lang Son,18.43,91,92,1.17,106.73,21.83
517,Doha,24.4,83,92,5.1,51.53,25.29
518,Kurilsk,-1.97,93,88,1.32,147.88,45.23
519,Lagunas,29.18,77,36,1.27,-75.68,-5.23
520,Naze,31.28,75,24,2.67,7.07,5.43
521,Egvekinot,-18.07,72,56,1.22,-179.17,66.32
522,Guaruja,29.18,66,0,2.6,-46.26,-23.99
523,Nagram,28.0,51,64,3.92,81.14,26.62
524,Dhidhdhoo,29.38,100,0,1.97,73.1,6.88
525,Makurdi,35.23,43,8,2.37,8.54,7.73
526,Bisira,26.28,68,8,1.87,-81.71,8.52
527,Puerto Leguizamo,28.23,84,68,1.27,-74.78,-0.19
528,Hovd,2.3,69,75,8.2,10.7,63.83
529,Tumbes,29.74,33,40,3.6,-80.46,-3.57
530,Mount Gambier,11.0,76,40,4.1,140.78,-37.83
531,Anori,29.73,82,64,1.62,-61.66,-3.74
532,Qandala,28.38,52,0,1.07,49.87,11.47
533,Middle Valley,14.76,71,90,1.72,-85.18,35.2
534,Dharchula,0.98,100,92,0.42,80.53,29.85
535,Kulim,26.82,88,75,1.0,100.55,5.37
536,Wamba,29.53,57,8,1.72,27.99,2.14
537,Siauliai,3.0,93,75,3.6,23.32,55.93
538,Freeport,25.0,69,40,4.1,-78.7,26.54
539,Am Timan,41.48,16,0,2.92,20.28,11.04
540,Canchungo,31.95,33,0,3.6,-16.03,12.07
541,Zhigalovo,-6.77,65,80,1.12,105.15,54.81
